Species,Genotype,Replicate,Zip.Color,Sample.id,Acclimation.Tank,Treatment.Tank,Treament
MC,4,17,Red,MC_4_17,,,
MC,4,18,Red,MC_4_18,,,
MC,4,19,Red,MC_4_19,,,
MC,4,20,Red,MC_4_20,,,
MC,4,21,Red,MC_4_21,,,
MC,4,22,Red,MC_4_22,,,
MC,4,23,Red,MC_4_23,,,
MC,4,24,Red,MC_4_24,,,
MC,4,25,Red,MC_4_25,,,
MC,4,26,Red,MC_4_26,,,
MC,4,27,Red,MC_4_27,,,
MC,4,28,Red,MC_4_28,,,
MC,4,29,Red,MC_4_29,,,
MC,4,30,Red,MC_4_30,,,
MC,4,31,Red,MC_4_31,,,
MC,4,32,Red,MC_4_32,,,
MC,4,33,Red,MC_4_33,,,
MC,4,34,Red,MC_4_34,,,
MC,4,35,Red,MC_4_35,,,
MC,4,36,Red,MC_4_36,,,
MC,4,37,Red,MC_4_37,,,
MC,4,38,Red,MC_4_38,,,
MC,4,39,Red,MC_4_39,,,
MC,4,40,Red,MC_4_40,,,
MC,4,41,Red,MC_4_41,,,
MC,4,42,Red,MC_4_42,,,
